Algorithm,InputType,DataSize,AverageTime(ms),AverageMemory(MB),,,,,,,,,,,,
bubble_sort,ascending,1k,1.1,7.56,,tim_sort,ascending,1k,0.01,7.38,,cocktail_shaker_sort,ascending,1k,1.04,7.74
bubble_sort,descending,1k,4.66,7.19,,tim_sort,descending,1k,0.01,7.63,,cocktail_shaker_sort,descending,1k,4.34,7.71
bubble_sort,random,1k,2.72,7.55,,tim_sort,random,1k,0.2,7.6,,cocktail_shaker_sort,random,1k,3.16,7.33
bubble_sort,part-random,1k,2.64,7.37,,tim_sort,part-random,1k,0.28,7.81,,cocktail_shaker_sort,part-random,1k,3.2,7.68
bubble_sort,ascending,10k,106.29,7.26,,tim_sort,ascending,10k,0.03,8.03,,cocktail_shaker_sort,ascending,10k,109.85,7.73
bubble_sort,descending,10k,429.69,7.61,,tim_sort,descending,10k,0.04,7.1,,cocktail_shaker_sort,descending,10k,413.03,7.56
bubble_sort,random,10k,231.66,7.78,,tim_sort,random,10k,2.25,7.5,,cocktail_shaker_sort,random,10k,247.03,7.57
bubble_sort,part-random,10k,246.18,7.61,,tim_sort,part-random,10k,2.15,7.69,,cocktail_shaker_sort,part-random,10k,260.83,7.29
bubble_sort,ascending,100k,8949.04,9.55,,tim_sort,ascending,100k,0.28,8.08,,cocktail_shaker_sort,ascending,100k,9017.07,8.45
bubble_sort,descending,100k,41797.75,8.98,,tim_sort,descending,100k,0.23,8.74,,cocktail_shaker_sort,descending,100k,39607.21,9.32
bubble_sort,random,100k,30495.63,8.96,,tim_sort,random,100k,25.5,8.76,,cocktail_shaker_sort,random,100k,28082.14,8.8
bubble_sort,part-random,100k,25965.06,9.64,,tim_sort,part-random,100k,15.12,9.3,,cocktail_shaker_sort,part-random,100k,25819.66,9.17
bubble_sort,ascending,1m,866266.98,24.05,,tim_sort,ascending,1m,1.73,15.58,,cocktail_shaker_sort,ascending,1m,878539.98,23.59
bubble_sort,descending,1m,3745935.18,23.18,,tim_sort,descending,1m,2.19,15.56,,cocktail_shaker_sort,descending,1m,3922239.91,24.63
bubble_sort,random,1m,3106567.39,25.09,,tim_sort,random,1m,195.16,20.93,,cocktail_shaker_sort,random,1m,2733856.5,24.39
bubble_sort,part-random,1m,2790933.31,23.46,,tim_sort,part-random,1m,162.66,20.69,,cocktail_shaker_sort,part-random,1m,2476789.54,24.31
,,,,,,,,,,,,,,,,
tournament_sort,ascending,1k,0.14,7.53,,selection_sort,ascending,1k,1.66,7.91,,comb_sort,ascending,1k,0.04,7.75
tournament_sort,descending,1k,0.13,7.22,,selection_sort,descending,1k,1.66,7.71,,comb_sort,descending,1k,0.07,7.71
tournament_sort,random,1k,0.19,7.04,,selection_sort,random,1k,1.71,7.9,,comb_sort,random,1k,0.15,7.74
tournament_sort,part-random,1k,0.16,7.54,,selection_sort,part-random,1k,1.66,7.39,,comb_sort,part-random,1k,0.13,7.35
tournament_sort,ascending,10k,0.97,8.31,,selection_sort,ascending,10k,170.43,7.43,,comb_sort,ascending,10k,0.65,8.2
tournament_sort,descending,10k,0.89,8,,selection_sort,descending,10k,141.84,8.05,,comb_sort,descending,10k,0.95,7.58
tournament_sort,random,10k,1.12,7.66,,selection_sort,random,10k,152.66,7.74,,comb_sort,random,10k,1.57,7.12
tournament_sort,part-random,10k,1.07,7.96,,selection_sort,part-random,10k,150.96,7.57,,comb_sort,part-random,10k,1.64,7.73
tournament_sort,ascending,100k,10.5,10.06,,selection_sort,ascending,100k,13923.9,8.64,,comb_sort,ascending,100k,7.91,8.25
tournament_sort,descending,100k,11.12,10.05,,selection_sort,descending,100k,14148.81,8.42,,comb_sort,descending,100k,10.65,8.43
tournament_sort,random,100k,13.97,10.66,,selection_sort,random,100k,13850.43,8.61,,comb_sort,random,100k,21.53,9.17
tournament_sort,part-random,100k,12.4,10.05,,selection_sort,part-random,100k,13939.57,9.14,,comb_sort,part-random,100k,18.61,8.8
tournament_sort,ascending,1m,166.37,33.38,,selection_sort,ascending,1m,1359181.93,18.69,,comb_sort,ascending,1m,154.15,15.54
tournament_sort,descending,1m,158.88,33.46,,selection_sort,descending,1m,1453108.62,19.31,,comb_sort,descending,1m,200.05,15.56
tournament_sort,random,1m,252.48,33.45,,selection_sort,random,1m,1298119,18.41,,comb_sort,random,1m,421.35,15.53
