Algorithm,InputType,DataSize,AverageTime(ms),AverageMemory(MB),,Algorithm,InputType,DataSize,AverageTime(ms),AverageMemory(MB),,Algorithm,InputType,DataSize,AverageTime(ms),AverageMemory(MB)
bubble_sort,ascending,1k,0.97,7.27,,tim_sort,ascending,1k,0.06,7.3,,cocktail_shaker_sort,ascending,1k,1.4,6.9
bubble_sort,descending,1k,4.92,7.05,,tim_sort,descending,1k,0.07,7.38,,cocktail_shaker_sort,descending,1k,6.1,7.12
bubble_sort,random,1k,3.59,7.41,,tim_sort,random,1k,0.46,7.73,,cocktail_shaker_sort,random,1k,3.36,7.34
bubble_sort,part-random,1k,3.16,7.2,,tim_sort,part-random,1k,0.53,7.77,,cocktail_shaker_sort,part-random,1k,3.13,7.2
bubble_sort,ascending,10k,101.58,7.29,,tim_sort,ascending,10k,0.08,7.13,,cocktail_shaker_sort,ascending,10k,101.66,6.99
bubble_sort,descending,10k,456.53,7.14,,tim_sort,descending,10k,0.08,7.39,,cocktail_shaker_sort,descending,10k,419.86,7.22
bubble_sort,random,10k,238.07,7.83,,tim_sort,random,10k,2.33,7.49,,cocktail_shaker_sort,random,10k,251.57,7.23
bubble_sort,part-random,10k,258.4,7.3,,tim_sort,part-random,10k,1.77,7.63,,cocktail_shaker_sort,part-random,10k,257.89,7.29
bubble_sort,ascending,100k,9571.48,7.66,,tim_sort,ascending,100k,0.26,8.02,,cocktail_shaker_sort,ascending,100k,9131.68,8.06
bubble_sort,descending,100k,43165.56,8,,tim_sort,descending,100k,0.27,7.3,,cocktail_shaker_sort,descending,100k,41768.8,7.57
bubble_sort,random,100k,30818.52,7.9,,tim_sort,random,100k,21.01,8.92,,cocktail_shaker_sort,random,100k,28847,8.09
bubble_sort,part-random,100k,25851.44,7.67,,tim_sort,part-random,100k,17.87,8.7,,cocktail_shaker_sort,part-random,100k,26224.27,8.02
bubble_sort,ascending,1m,866266.98,18.05,,tim_sort,ascending,1m,1.91,10.93,,cocktail_shaker_sort,ascending,1m,878539.98,17.59
bubble_sort,descending,1m,3745935.18,17.18,,tim_sort,descending,1m,2.19,10.85,,cocktail_shaker_sort,descending,1m,3922239.91,18.63
