Algorithm,InputType,DataSize,AverageTime(ms),AverageMemory(MB)
tournament_sort,ascending,1m,166.37,33.38
tournament_sort,descending,1m,158.88,33.46
tournament_sort,random,1m,252.48,33.45
tournament_sort,part-random,1m,199.42,33.41
merge_sort,ascending,1m,562.83,317.46
merge_sort,descending,1m,495.72,317.52
merge_sort,random,1m,533.24,317.43
merge_sort,part-random,1m,523.59,317.41
tim_sort,ascending,1m,1.73,15.58
tim_sort,descending,1m,2.19,15.56
tim_sort,random,1m,195.16,20.93
tim_sort,part-random,1m,162.66,20.69
