Algorithm,TSPFile,StartIndex,Count,AverageTime(ms),AverageMemory(MB),AverageResult
basic_HK,a280.tsp,0,1,0.00,3.55,0.0000000000
basic_HK,xql662.tsp,0,1,0.00,3.62,0.0000000000
basic_HK,kz9976.tsp,0,1,0.00,3.58,0.0000000000
basic_HK,mona-lisa100K.tsp,0,1,0.00,3.58,0.0000000000
basic_HK,a280.tsp,0,2,0.00,3.60,40.0000000000
basic_HK,xql662.tsp,0,2,0.00,3.62,38.0000000000
basic_HK,kz9976.tsp,0,2,0.00,3.62,850.0000000000
basic_HK,mona-lisa100K.tsp,0,2,0.00,3.60,8746.0000000000
basic_HK,a280.tsp,0,3,0.00,3.62,62.0000000000
basic_HK,xql662.tsp,0,3,0.00,3.60,50.0000000000
basic_HK,kz9976.tsp,0,3,0.00,3.62,851.0000000000
basic_HK,mona-lisa100K.tsp,0,3,0.00,3.62,31382.0000000000
basic_HK,a280.tsp,0,4,0.00,3.62,87.0000000000
basic_HK,xql662.tsp,0,4,0.00,3.62,76.0000000000
basic_HK,kz9976.tsp,0,4,0.00,3.62,1086.0000000000
basic_HK,mona-lisa100K.tsp,0,4,0.00,3.62,39037.0000000000
basic_HK,a280.tsp,0,5,0.00,3.62,103.0000000000
basic_HK,xql662.tsp,0,5,0.00,3.60,88.0000000000
basic_HK,kz9976.tsp,0,5,0.00,3.62,1089.0000000000
basic_HK,mona-lisa100K.tsp,0,5,0.00,3.62,46676.0000000000
basic_HK,a280.tsp,0,6,0.00,3.62,116.0000000000
basic_HK,xql662.tsp,0,6,0.00,3.62,114.0000000000
basic_HK,kz9976.tsp,0,6,0.00,3.62,1091.0000000000
basic_HK,mona-lisa100K.tsp,0,6,0.00,3.62,48235.0000000000
basic_HK,a280.tsp,0,7,0.00,3.62,145.0000000000
basic_HK,xql662.tsp,0,7,0.00,3.62,132.0000000000
basic_HK,kz9976.tsp,0,7,0.00,3.62,1110.0000000000
basic_HK,mona-lisa100K.tsp,0,7,0.00,3.62,50534.0000000000
basic_HK,a280.tsp,0,8,0.00,3.60,159.0000000000
basic_HK,xql662.tsp,0,8,0.00,3.60,132.0000000000
basic_HK,kz9976.tsp,0,8,0.00,3.62,1130.0000000000
basic_HK,mona-lisa100K.tsp,0,8,0.00,3.62,50541.0000000000
basic_HK,a280.tsp,0,9,0.00,3.58,163.0000000000
basic_HK,xql662.tsp,0,9,0.00,3.62,132.0000000000
basic_HK,kz9976.tsp,0,9,0.00,3.62,1401.0000000000
basic_HK,mona-lisa100K.tsp,0,9,0.00,3.62,50616.0000000000
basic_HK,a280.tsp,0,10,0.00,3.70,174.0000000000
basic_HK,xql662.tsp,0,10,0.00,3.75,132.0000000000
basic_HK,kz9976.tsp,0,10,0.00,3.75,1401.0000000000
basic_HK,mona-lisa100K.tsp,0,10,0.00,3.75,55322.0000000000
basic_HK,a280.tsp,0,11,0.80,3.73,189.0000000000
basic_HK,xql662.tsp,0,11,0.00,3.75,132.0000000000
basic_HK,kz9976.tsp,0,11,0.20,3.70,1407.0000000000
basic_HK,mona-lisa100K.tsp,0,11,0.60,3.75,56683.0000000000
basic_HK,a280.tsp,0,12,1.20,3.83,204.0000000000
basic_HK,xql662.tsp,0,12,1.00,3.88,132.0000000000
basic_HK,kz9976.tsp,0,12,1.00,3.88,1413.0000000000
basic_HK,mona-lisa100K.tsp,0,12,1.20,3.83,59208.0000000000
basic_HK,a280.tsp,0,13,5.00,4.12,220.0000000000
