Algorithm,TSPFile,StartIndex,Count,AverageTime(ms),AverageMemory(MB),AverageResult
basic_HK,a280.tsp,0,1,0,3.55,0
basic_HK,xql662.tsp,0,1,0,3.62,0
basic_HK,kz9976.tsp,0,1,0,3.58,0
basic_HK,mona-lisa100K.tsp,0,1,0,3.58,0
basic_HK,a280.tsp,0,2,0,3.6,40
basic_HK,xql662.tsp,0,2,0,3.62,38
basic_HK,kz9976.tsp,0,2,0,3.62,850
basic_HK,mona-lisa100K.tsp,0,2,0,3.6,8746
basic_HK,a280.tsp,0,3,0,3.62,62
basic_HK,xql662.tsp,0,3,0,3.6,50
basic_HK,kz9976.tsp,0,3,0,3.62,851
basic_HK,mona-lisa100K.tsp,0,3,0,3.62,31382
basic_HK,a280.tsp,0,4,0,3.62,87
basic_HK,xql662.tsp,0,4,0,3.62,76
basic_HK,kz9976.tsp,0,4,0,3.62,1086
basic_HK,mona-lisa100K.tsp,0,4,0,3.62,39037
basic_HK,a280.tsp,0,5,0,3.62,103
basic_HK,xql662.tsp,0,5,0,3.6,88
basic_HK,kz9976.tsp,0,5,0,3.62,1089
basic_HK,mona-lisa100K.tsp,0,5,0,3.62,46676
basic_HK,a280.tsp,0,6,0,3.62,116
basic_HK,xql662.tsp,0,6,0,3.62,114
basic_HK,kz9976.tsp,0,6,0,3.62,1091
basic_HK,mona-lisa100K.tsp,0,6,0,3.62,48235
basic_HK,a280.tsp,0,7,0,3.62,145
basic_HK,xql662.tsp,0,7,0,3.62,132
basic_HK,kz9976.tsp,0,7,0,3.62,1110
basic_HK,mona-lisa100K.tsp,0,7,0,3.62,50534
basic_HK,a280.tsp,0,8,0,3.6,159
basic_HK,xql662.tsp,0,8,0,3.6,132
basic_HK,kz9976.tsp,0,8,0,3.62,1130
basic_HK,mona-lisa100K.tsp,0,8,0,3.62,50541
basic_HK,a280.tsp,0,9,0,3.58,163
basic_HK,xql662.tsp,0,9,0,3.62,132
basic_HK,kz9976.tsp,0,9,0,3.62,1401
basic_HK,mona-lisa100K.tsp,0,9,0,3.62,50616
basic_HK,a280.tsp,0,10,0,3.7,174
basic_HK,xql662.tsp,0,10,0,3.75,132
basic_HK,kz9976.tsp,0,10,0,3.75,1401
basic_HK,mona-lisa100K.tsp,0,10,0,3.75,55322
basic_HK,a280.tsp,0,11,0.8,3.73,189
basic_HK,xql662.tsp,0,11,0,3.75,132
basic_HK,kz9976.tsp,0,11,0.2,3.7,1407
basic_HK,mona-lisa100K.tsp,0,11,0.6,3.75,56683
basic_HK,a280.tsp,0,12,1.2,3.83,204
basic_HK,xql662.tsp,0,12,1,3.88,132
basic_HK,kz9976.tsp,0,12,1,3.88,1413
basic_HK,mona-lisa100K.tsp,0,12,1.2,3.83,59208
basic_HK,a280.tsp,0,13,5,4.12,220
basic_HK,xql662.tsp,0,13,3.2,4.25,132
basic_HK,kz9976.tsp,0,13,4.4,4.25,1522
basic_HK,mona-lisa100K.tsp,0,13,3.6,4.12,59366
basic_HK,a280.tsp,0,14,7.6,5,236
basic_HK,xql662.tsp,0,14,7,5.1,132
basic_HK,kz9976.tsp,0,14,8.4,5.1,1524
basic_HK,mona-lisa100K.tsp,0,14,7.8,5,59784
basic_HK,a280.tsp,0,15,22.8,6.88,238
basic_HK,xql662.tsp,0,15,18.2,7,132
basic_HK,kz9976.tsp,0,15,17.6,7,1549
basic_HK,mona-lisa100K.tsp,0,15,17.8,6.88,63213
basic_HK,a280.tsp,0,16,57.2,10.88,267
basic_HK,xql662.tsp,0,16,38.6,11,132
basic_HK,kz9976.tsp,0,16,36.2,11,1609
basic_HK,mona-lisa100K.tsp,0,16,39.8,10.88,69502
basic_HK,a280.tsp,0,17,92.6,19.38,290
basic_HK,xql662.tsp,0,17,70.6,19.5,132
basic_HK,kz9976.tsp,0,17,76,19.5,1616
basic_HK,mona-lisa100K.tsp,0,17,63.6,19.4,70107
basic_HK,a280.tsp,0,18,173.8,37.5,303
basic_HK,xql662.tsp,0,18,152,37.58,132
basic_HK,kz9976.tsp,0,18,164.2,37.62,1637
basic_HK,mona-lisa100K.tsp,0,18,139.4,37.4,71850
basic_HK,a280.tsp,0,19,381.4,75.47,317
basic_HK,xql662.tsp,0,19,330.2,75.6,132
basic_HK,kz9976.tsp,0,19,354.2,75.55,1650
basic_HK,mona-lisa100K.tsp,0,19,296.4,75.47,73096
basic_HK,a280.tsp,0,20,821.2,155.5,332
basic_HK,xql662.tsp,0,20,720.6,155.62,132
basic_HK,kz9976.tsp,0,20,756.4,155.6,1703
basic_HK,mona-lisa100K.tsp,0,20,653.8,155.5,73626
basic_HK,a280.tsp,0,21,1767.8,323.5,347
basic_HK,xql662.tsp,0,21,1532.8,323.6,132
basic_HK,kz9976.tsp,0,21,1640.4,323.6,1880
basic_HK,mona-lisa100K.tsp,0,21,1386.8,323.5,74638
basic_HK,a280.tsp,0,22,3788.8,675.42,358
basic_HK,xql662.tsp,0,22,3281,675.62,132
