Algorithm,TSPFile,StartIndex,Count,AverageTime(ms),AverageMemory(MB),AverageResult,ExactResult
myown,a280.tsp,0,280,3.5,3.62,2946,2579
myown,ar9152.tsp,0,9152,1415,5.11,985652,837479
myown,bm33708.tsp,0,33708,16248.5,9.72,1118462,959304
myown,ca4663.tsp,0,4663,399,4.3,1532283,1290319
myown,ch71009.tsp,0,71009,76146.5,16.49,5249849,4566563
myown,dj38.tsp,0,38,0,3.56,6799,6656
myown,eg7146.tsp,0,7146,843.5,4.75,205995,172387
myown,ei8246.tsp,0,8246,904,4.88,236748,206171
myown,fi10639.tsp,0,10639,1529,5.47,605747,520527
myown,gr9882.tsp,0,9882,1368.5,5.43,355059,300899
myown,ho14473.tsp,0,14473,3056,6.2,209963,177105
myown,it16862.tsp,0,16862,3713.5,6.32,645942,557315
myown,ja9847.tsp,0,9847,1357,5.13,574100,491924
myown,kz9976.tsp,0,9976,1287,5.33,1243247,1061882
myown,lrb744710.tsp,0,744710,10063102,144.38,1948650,1611232
myown,lu980.tsp,0,980,23,3.81,13080,11340
myown,mo14185.tsp,0,14185,2923.5,6.2,500074,427377
myown,mona-lisa100K.tsp,0,100000,173891.5,21.62,6225693,5757084
myown,mu1979.tsp,0,1979,73.5,4,100425,86891
myown,nu3496.tsp,0,3496,182.5,4.14,112390,96132
myown,qa194.tsp,0,194,1,3.75,10454,9352
myown,rw1621.tsp,0,1621,52.5,3.94,31323,26051
myown,sw24978.tsp,0,24978,9125.5,7.56,998107,855597
myown,tz6117.tsp,0,6117,636,4.57,465583,394718
myown,uy734.tsp,0,734,16.5,3.75,89789,79114
myown,vm22775.tsp,0,22775,7699.5,7.87,659764,569288
myown,wi29.tsp,0,29,0,3.62,27750,27603
myown,xql662.tsp,0,662,14.5,3.75,2897,2513
myown,ym7663.tsp,0,7663,994,4.78,283789,238314
myown,zi929.tsp,0,929,18.5,3.81,109351,95345
